City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Port-Gentil,GA,-0.7193,8.7815,73.99,83,97,13.87,overcast clouds
226,Kaman,IN,27.65,77.2667,83.32,73,88,6.71,overcast clouds
227,Luderitz,NA,-26.6481,15.1594,53.94,78,0,2.66,clear sky
228,Qasigiannguit,GL,68.8193,-51.1922,44.85,98,100,3.33,overcast clouds
229,Cairns,AU,-16.9167,145.7667,79.07,68,75,12.66,broken clouds
230,Turukhansk,RU,65.8167,87.9833,62.64,66,0,1.97,clear sky
231,Bilma,NE,18.6853,12.9164,88.83,12,26,5.95,scattered clouds
232,Ust-Kuyga,RU,70.0167,135.6,72.73,55,42,1.61,scattered clouds
233,Castlemaine,AU,-37.0667,144.2167,51.04,86,100,10.09,overcast clouds
234,Whitehorse,CA,60.7161,-135.0538,77.77,27,75,10.36,broken clouds
235,Lompoc,US,34.6391,-120.4579,83.01,73,0,16.11,clear sky
236,Nuuk,GL,64.1835,-51.7216,41.61,93,100,9.22,overcast clouds
237,Teguise,ES,29.0605,-13.564,73.62,73,0,26.46,clear sky
238,Kargil,IN,34.5667,76.1,59.0,69,99,5.48,overcast clouds
239,Nagato,JP,34.3833,131.2,84.09,72,0,4.09,clear sky
240,Bilibino,RU,68.0546,166.4372,48.87,47,34,14.09,scattered clouds
241,Lasa,IT,46.6166,10.7002,67.08,90,100,2.08,overcast clouds
242,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.09,98,100,1.74,light rain
243,Grindavik,IS,63.8424,-22.4338,55.35,100,100,16.11,mist
244,Pozega,HR,45.3403,17.6853,65.95,91,27,1.43,scattered clouds
245,Acajutla,SV,13.5928,-89.8275,79.65,80,41,2.77,scattered clouds
246,Dudinka,RU,69.4058,86.1778,60.62,55,67,10.58,broken clouds
247,Hofn,IS,64.2539,-15.2082,50.07,92,100,2.04,overcast clouds
248,Progreso,MX,21.2833,-89.6667,77.11,80,47,19.62,scattered clouds
249,Sokolo,ML,14.7328,-6.1219,87.21,51,100,14.7,overcast clouds
